open,high,low,close,volume
6543.56,6648.6,6455.7,6622.85,1255927022.43
6625.46,6818.05,6536.23,6775.9,1202022254.93
6775.86,6792.51,6695.64,6722.7,1191613186.14
6723.05,6814.44,6645.15,6675.46,2245419888.28
6678.21,6699.54,6303.91,6321.52,1774665052.39
6321.59,6420.16,6307.19,6398.1,1686814434.87
6397.9,6398.72,6087.76,6244.79,1724816701.43
6245.37,6336.65,6131.55,6219.27,1611617775.81
6219.16,6319.62,6183.94,6251.72,1893991070.44
6251.14,6393.27,6231.77,6354.71,1204138214.11
6353.73,6744.44,6335.5,6726.14,1467954570.29
6724.14,7447.38,6656.8,7314.35,1785222214.97
7315.3,7573.57,7238.72,7379.17,1835520400.49
7379.33,7559.8,7277.45,7474.16,1519206075.04
7474.09,7686.19,7289.27,7339.26,1367858618.62
7339.26,7456.66,7219.9,7403.93,1171092351.79
7403.93,7575.68,7346.91,7403.38,1710767407.03
7403.38,7803.43,7383.53,7717.27,1635212323.22
7717.3,8478.08,7697.49,8414.79,1591214379.16
8407.81,8484.14,8057.53,8173.44,1504636411.95
8174.06,8308.08,7858.24,7935.07,1370274757.7
7935.16,8277.0,7807.13,8188.37,1278432199.69
8188.27,8234.15,8070.69,8212.75,1235119099.61
8213.07,8287.7,8124.56,8220.45,1145896723.72
8220.45,8264.58,7870.92,8181.84,1330748756.12
8181.86,8209.52,7644.22,7730.27,1603479876.81
7729.94,7749.06,7447.63,7607.82,1325349080.57
7608.1,7694.62,7470.94,7530.36,1297844668.96
7530.2,7531.02,7288.87,7414.32,1220493621.72
7414.27,7490.53,6944.48,7011.55,1069617740.82
7011.55,7083.73,6894.65,7027.85,1054820294.41
7027.43,7145.89,6849.77,6936.5,971213921.88
6936.5,7143.98,6678.8,6723.77,1442468345.52
6723.77,6724.35,6142.53,6280.41,1336767922.46
6279.79,6615.03,6191.12,6528.37,1411260092.8
6528.63,6567.79,6042.78,6144.34,1714444856.68
6144.51,6454.44,6000.86,6229.22,1372448335.13
6228.9,6434.45,6157.25,6309.14,1108206895.31
6309.14,6515.62,6161.05,6251.86,1167641820.51
6251.86,6253.07,5890.82,6184.92,1280735398.95
6184.92,6590.06,6180.3,6267.67,1266597372.25
6266.37,6468.81,6218.74,6311.39,1041076561.78
6311.34,6578.95,6291.44,6578.95,1182990250.95
6578.99,6612.82,6301.93,6387.97,1069240934.96
6388.05,6534.0,6308.18,6475.68,888391802.68
6476.73,6523.53,6235.57,6258.94,884674413.76
6258.94,6493.06,6244.16,6473.98,839041025.56
6473.98,6857.67,6264.13,6352.51,1184259573.86
6352.52,6547.42,6346.54,6522.64,886971890.22
6522.64,6714.06,6472.77,6685.44,1088882820.37
6683.02,6784.78,6659.01,6735.13,707962499.33
6735.13,6771.94,6574.48,6702.7,818146787.73
6702.7,6916.55,6655.5,6898.11,876280398.81
6898.11,7125.6,6866.91,7076.96,1058557369.73
7076.96,7125.76,6937.4,7033.47,1142261820.78
7032.55,7065.88,6806.14,6978.88,1197980322.69
6978.88,7085.3,6894.85,7014.81,1129403028.25
7014.81,7263.9,7013.73,7202.39,1118539457.0
7202.34,7329.57,7130.58,7296.82,1084724340.4
7296.8,7332.92,7197.24,7268.14,1057403250.7
7268.16,7409.41,7241.03,7360.12,995492703.69
7359.68,7392.13,6692.81,6711.02,1175714546.87
6711.02,6740.82,6322.96,6519.27,1136942262.01
6519.52,6538.18,6317.16,6394.82,1024023981.13
6395.87,6472.92,6128.43,6183.16,926854675.6
6183.16,6425.03,6150.54,6251.47,926492309.98
6252.78,6349.66,6242.05,6310.62,869919406.15
6310.62,6379.45,6198.21,6291.69,836254021.06
6291.14,6351.29,6206.89,6336.11,812574452.08
6337.33,6524.69,6336.03,6487.26,949891759.01
6486.27,6577.65,6405.06,6486.27,787015570.03
6486.27,6563.88,6474.14,6519.49,647650590.64
6519.46,6520.97,6385.95,6500.68,644924832.89
6500.62,6532.28,6213.55,6252.27,731858073.45
6252.26,6385.92,6231.41,6339.44,717270452.57
6339.44,6489.79,6135.15,6390.68,733280259.12
6390.88,6532.17,6353.36,6493.27,651279353.73
6493.32,6775.55,6493.01,6761.15,946183603.09
6761.15,6830.01,6639.43,6721.75,735682023.68
6721.74,6783.31,6667.16,6708.22,786530807.88
6708.25,6727.37,6562.27,6584.03,823728982.91
6584.12,6585.5,6339.36,6441.75,851181620.17
6441.75,6551.65,6384.92,6464.95,693724738.87
6464.95,6728.5,6436.81,6690.06,692605877.3
6690.06,6797.67,6554.32,6638.59,804706326.99
6638.63,6638.63,6476.47,6599.69,662323566.19
6598.55,6655.81,6544.38,6626.05,690035519.43
6626.23,6662.76,6524.21,6608.27,589657744.06
6608.15,6627.77,6500.43,6534.9,691122599.57
6533.31,6547.82,6438.28,6507.05,695574452.24
6507.05,6635.61,6503.1,6590.94,603059438.9
6591.06,6669.29,6552.58,6635.17,618318950.86
6635.17,6645.73,6569.48,6595.82,564193851.98
6595.85,6635.76,6539.28,6610.78,577411154.29
6610.85,6703.6,6590.11,6670.65,784715721.99
6671.03,6680.2,6614.94,6655.27,561181741.4
6655.36,6656.7,6536.58,6629.62,608859960.55
6629.62,6629.85,6217.24,6254.04,1080056501.09
6256.29,6356.58,6218.08,6298.17,913316571.99
6298.2,6337.21,6290.33,6332.0,740300159.93
6332.23,6405.37,6318.28,6340.8,730324384.14
6338.79,7536.65,6308.38,6751.54,1561350153.27
6751.67,6890.54,6680.38,6766.05,898432418.09
6764.93,6801.08,6679.8,6737.64,977187629.61
6737.64,6782.06,6569.52,6616.28,784922654.49
6616.73,6642.65,6527.32,6528.89,724958367.74
6528.45,6610.2,6507.17,6587.35,675414986.87
6587.43,6655.41,6582.01,6592.45,704259766.46
6592.18,6634.96,6550.01,6580.23,786345201.24
6580.03,6593.33,6525.02,6553.65,733894544.1
6553.65,6730.75,5931.21,6565.21,641127492.89
6565.3,6573.98,6510.11,6532.34,749497118.61
6532.39,6590.34,6518.56,6538.75,719990225.99
6539.01,6554.86,6481.3,6505.6,609580238.88
6505.59,6512.39,6466.28,6487.89,613478785.64
6487.57,6501.12,6318.54,6346.53,769455994.95
6346.42,6385.03,6320.55,6331.56,891263731.18
6331.42,6417.48,6251.71,6371.16,792465737.06
6371.2,6429.73,6354.79,6407.81,799035286.09
6407.87,6452.34,6395.51,6431.21,845721163.53
6431.09,6435.44,6347.36,6387.9,729505928.8
6387.83,6515.41,6359.34,6484.0,793630556.65
6484.27,6496.19,6437.99,6467.42,867096510.93
6467.04,6521.98,6447.09,6511.68,956497316.84
6511.73,6607.74,6510.21,6578.44,1105828480.43
6578.41,6590.1,6475.32,6481.65,1019648412.66
6481.39,6508.99,6394.13,6419.37,943451397.37
6419.45,6469.57,6416.88,6432.65,818521618.52
6432.65,6461.1,6361.54,6455.07,856326958.47
6455.22,6483.27,6423.33,6451.9,814100276.16
6451.9,6497.26,6400.36,6461.31,853209564.67
6461.31,6479.93,5680.85,5916.21,1623315890.03
5916.12,5936.25,5421.41,5750.29,1546968216.36
5749.87,5771.17,5554.52,5649.59,1141200147.79
5649.73,5654.47,5569.67,5630.26,934417011.37
5630.61,5732.04,5620.34,5663.87,930602882.46
5663.87,5665.05,4871.01,4927.73,1669640357.27
4926.22,5045.18,4338.77,4572.3,2018289709.72
4572.35,4781.24,4423.64,4663.44,1402567969.17
4663.9,4718.02,4353.51,4368.43,970644356.59
4368.5,4479.59,4238.57,4421.16,1166847248.45
4420.58,4522.22,3850.48,3945.62,1213819143.38
3945.41,4223.76,3672.98,4092.14,1702972311.34
4092.16,4199.9,3705.46,3863.35,1540491984.0
3863.87,3938.55,3697.23,3878.0,1393738250.79
3878.27,4388.99,3878.24,4265.19,1681465082.31
4265.18,4443.21,4133.67,4297.02,1522968070.57
4297.02,4338.08,3950.07,4046.14,1565433372.19
4046.07,4298.97,3968.69,4197.98,1267399436.79
4198.03,4314.09,4109.6,4166.34,1230041017.74
4165.66,4179.14,3851.73,3905.45,1224150532.32
3905.45,4085.31,3819.26,3963.78,1104326906.92
3963.78,3978.23,3776.12,3781.66,1197706323.93
3781.66,3891.1,3508.83,3512.48,1340841128.53
3512.48,3537.57,3249.93,3421.55,1647659040.64
3421.55,3509.13,3304.47,3441.13,1319250196.27
